timestamp,price,ask_price
2025-10-21 17:49,149.82644570798155,149.84097981829558
2025-10-21 17:50,150.67693647747976,150.72303278717143
2025-10-21 17:51,150.39527082396296,150.42860653638238
2025-10-21 17:52,150.9293691844671,150.94038598752675
2025-10-21 17:53,151.12843183926543,151.17557627937032
2025-10-21 17:54,150.16729178379404,150.1829654013915
2025-10-21 17:55,151.27512049968544,151.31692980687893
2025-10-21 17:56,151.34915793694805,151.36006244732593
2025-10-21 17:57,150.95791869275322,150.98077000197898
2025-10-21 17:58,150.66224828285814,150.6738729502586
2025-10-21 17:59,151.87894629731684,151.90320994454174
2025-10-21 18:00,151.32667628296144,151.3509332299041
2025-10-21 18:01,152.21711770022102,152.25364385122057
2025-10-21 18:02,151.5019855922294,151.51455538081836
2025-10-21 18:03,153.3754322284357,153.40449219730945
2025-10-21 18:04,153.10376261209393,153.11480081461227
2025-10-21 18:05,152.52351529744416,152.53750605537405
2025-10-21 18:06,153.0036509338397,153.02599053183764
2025-10-21 18:07,152.87748890894903,152.91466888551759
2025-10-21 18:08,153.1758250174485,153.20305080800443
2025-10-21 18:09,154.10235264755588,154.11714666170627
2025-10-21 18:10,153.34735759206416,153.39141020468318
2025-10-21 18:11,153.49875544237503,153.52000096042167
2025-10-21 18:12,153.8899541441201,153.90088389458174
2025-10-21 18:13,153.9739809977448,153.98809721525396
2025-10-21 18:14,154.0948016530477,154.1321872842575
2025-10-21 18:15,154.52268969878926,154.54771637827707
2025-10-21 18:16,154.0926817488054,154.1334670667704
2025-10-21 18:17,155.12925114517202,155.17618329239778
2025-10-21 18:18,154.0057905685072,154.02917787383896
2025-10-21 18:19,155.32171254449563,155.36622738077074
